<NUMBER OF ZONES> 1698
<NUMBER OF NODES> 7926
<FIRST THRU NODE> 0
<NUMBER OF LINKS> 21194
<MINIMUM_NODE_ID> 0
<TRIP_FORMAT> 1
<COST_FUN_TYPE> 1
<END OF METADATA>

~origin    dest    capacity    length    fft    alpha    beta    speed_limit    toll    FTYPE    ATYPE    AMLANE    slope    fld    slr    tpa    bri
86    2275    22050.0    0.08    0.28    2000    1.00    99    0.00    0    1    7   0.04   9999   9999   0   0.000000;
87    1877    22050.0    0.12    0.42    2000    1.00    99    0.00    0    1    7   -0.04   9999   9999   0   0.000000;
88    1877    22050.0    0.21    0.74    2000    1.00    99    0.00    0    1    7   0.08   9999   9999   0   0.000000;
88    2273    22050.0    0.22    0.78    2000    1.00    99    0.00    0    1    7   0.05   9999   9999   0   578.760000;
88    2274    22050.0    0.21    0.74    2000    1.00    99    0.00    0    1    7   -0.01   9999   9999   0   0.000000;
89    1878    22050.0    0.17    0.60    2000    1.00    99    0.00    0    1    7   0.03   9999   9999   0   484.720000;
90    1873    22050.0    0.18    0.64    2000    1.00    99    0.00    0    1    7   -0.02   9999   9999   0   0.000000;
90    1875    22050.0    0.12    0.42    2000    1.00    99    0.00    0    1    7   0.09   9999   9999   0   0.000000;
90    2081    22050.0    0.29    1.02    2000    1.00    99    0.00    0    1    7   -0.01   9999   9999   0   0.000000;
91    1896    22050.0    0.39    1.38    2000    1.00    99    0.00    0    1    7   -0.00   9999   9999   0   0.000000;
92    2278    22050.0    0.24    0.85    2000    1.00    99    0.00    0    1    7   0.06   9999   9999   0   0.000000;
92    2279    22050.0    0.26    0.92    2000    1.00    99    0.00    0    1    7   -0.00   9999   9999   0   0.000000;
93    1880    22050.0    0.19    0.67    2000    1.00    99    0.00    0    1    7   -0.02   9999   9999   0   0.000000;
93    2276    22050.0    0.33    1.16    2000    1.00    99    0.00    0    1    7   0.04   9999   9999   0   0.000000;
93    2277    22050.0    0.30    1.06    2000    1.00    99    0.00    0    1    7   0.00   9999   9999   0   0.000000;
94    2069    22050.0    0.25    0.88    2000    1.00    99    0.00    0    1    7   -0.02   9999   9999   0   0.000000;
94    2277    22050.0    0.25    0.88    2000    1.00    99    0.00    0    1    7   0.02   9999   9999   0   0.000000;
94    2289    22050.0    0.28    0.99    2000    1.00    99    0.00    0    1    7   0.01   9999   9999   0   0.000000;
95    2040    22050.0    0.14    0.49    2000    1.00    99    0.00    0    1    7   0.01   9999   9999   0   0.000000;
